Категория;ВидПродукции;2014;2015;2016;2017
Кондитерские изделия;Шоколад;545,06;748,25;828;832,65
Кондитерские изделия;Конфеты мягкие, глазированные шоколадом;215,83;284,54;304,62;302,97
Кондитерские изделия;Конфеты шоколадные натуральные и с добавками;456,76;571,66;590,57;588,13
Кондитерские изделия;Жевательная резинка, за упаковку;20,16;23,48;26,81;26,86
Кондитерские изделия;Печенье;114,3;138,28;147,85;149,15
Кондитерские изделия;Пряники;98,19;116,44;125,82;127,88
Кондитерские изделия;Кексы, рулеты;191,37;224,92;240,53;240,85
Кондитерские изделия;Торты;350,74;399,46;418,86;436,79
Варенье, джем, повидло, мед;Варенье, джем, повидло;193,32;250,78;280,11;299,85
Варенье, джем, повидло, мед;Мед пчелиный натуральный;415,93;442,23;462,34;468,19
Чай, кофе, какао;Кофе натуральный растворимый;1700,36;2144,96;2335,79;2379,8
Чай, кофе, какао;Кофе натуральный в зернах и молотый;683,34;913,46;1002,04;1004,64
Чай, кофе, какао;Чай черный байховый;496,4;685,73;759,21;765,93
Чай, кофе, какао;Чай черный байховый пакетированный, за 25 пакетиков;46,71;59,24;62,75;61,62
Соль, соус, специи, концентраты;Майонез;115,69;150,38;163,82;164,95
Соль, соус, специи, концентраты;Кетчуп;115,2;140,53;161,48;168,12
Соль, соус, специи, концентраты;Соль поваренная пищевая;11,55;12,63;12,63;12,73
Соль, соус, специи, концентраты;Перец черный (горошек);1086,28;1799,07;2102,4;2145,88
Соль, соус, специи, концентраты;Сухие супы в пакетах, за 100 г;29,69;37,12;39,25;41,04
Мука;Мука пшеничная;29,46;32,78;33,27;32,11
Хлеб и хлебобулочные изделия;Хлеб из ржаной муки и из смеси муки ржаной и пшеничной;36,99;41,85;44,51;45,84
Хлеб и хлебобулочные изделия;Хлеб и булочные изделия из пшеничной муки высшего сорта;58,75;64,8;67,61;68,92
Хлеб и хлебобулочные изделия;Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов;38,21;42,24;43,78;45,41
Хлеб и хлебобулочные изделия;Булочные изделия сдобные из муки высшего сорта штучные;140,42;160,31;167,79;173,4
Хлеб и хлебобулочные изделия;Бараночные изделия;105,62;122,18;130,32;135,4
Хлеб и хлебобулочные изделия;Хлопья из злаков (сухие завтраки);231,85;274,48;292,36;293,23
Макаронные и крупяные изделия;Рис шлифованный;53,03;67,87;63,98;62,83
Макаронные и крупяные изделия;Крупа манная;34,26;40,11;40,55;38,65
Макаронные и крупяные изделия;Пшено;32,5;36,2;33,86;31,47
Макаронные и крупяные изделия;Горох и фасоль;41,12;52,85;60,61;56,01
Макаронные и крупяные изделия;Крупа гречневая-ядрица;67,07;70,42;85,23;57,47
Макаронные и крупяные изделия;Крупы овсяная и перловая;27,78;31,35;32,13;30,06
Макаронные и крупяные изделия;Овсяные хлопья Геркулес;53,72;60,98;66,79;62,59
Макаронные и крупяные изделия;Вермишель;56,12;63,95;67,04;66,28
Макаронные и крупяные изделия;Макаронные изделия из пшеничной муки высшего сорта;55,18;66,01;68,41;67,61
Плодоовощная продукция, включая картофель;Картофель;26,66;19,91;20,25;22,25
Плодоовощная продукция, включая картофель;Капуста белокочанная свежая;25,55;22,68;17,96;16,14
Плодоовощная продукция, включая картофель;Лук репчатый;26,47;24,64;21,28;21,22
Плодоовощная продукция, включая картофель;Свёкла столовая;24,39;23,83;22,31;21,61
Плодоовощная продукция, включая картофель;Морковь;31,12;30,36;25,94;25,81
Плодоовощная продукция, включая картофель;Чеснок;112;196,39;260,26;166,61
Плодоовощная продукция, включая картофель;Огурцы свежие;125,34;158,93;135,38;148,26
Плодоовощная продукция, включая картофель;Помидоры свежие;127,2;163,3;127,22;142,65
Плодоовощная продукция, включая картофель;Овощи замороженные;136,21;198,21;208,3;207,53
Плодоовощная продукция, включая картофель;Яблоки;76,7;87,43;81,92;88,57
Плодоовощная продукция, включая картофель;Груши;106,85;128,87;129,96;134,16
Плодоовощная продукция, включая картофель;Апельсины;69,72;102,9;94,45;91,61
Плодоовощная продукция, включая картофель;Виноград;139,55;169,65;174,03;151,5
Плодоовощная продукция, включая картофель;Лимоны;100,53;146,41;120,17;124,15
Плодоовощная продукция, включая картофель;Бананы;60,17;73,06;68,96;66,69
Плодоовощная продукция, включая картофель;Сухофрукты;205,18;333,6;327,76;313,63
Плодоовощная продукция, включая картофель;Орехи;405,44;586,51;584,03;566,77
Алкогольные напитки;Водка крепостью 40% об.спирта и выше, за л;547,02;559,21;583;600,59
Алкогольные напитки;Вино виноградное крепленое крепостью до 20% об.спирта, за л;390,81;472,84;518,56;541,79
Алкогольные напитки;Вино виноградное столовое (сухое, полусухое, полусладкое) крепостью до 14% об.спирта и содержанием до 8% сахара, за л;299,19;364,69;379,97;394,15
Алкогольные напитки;Коньяк ординарный отечественный, за л;1139,95;1261,25;1321,94;1303,04
Алкогольные напитки;Вино игристое отечественное, за л;253,64;283,72;306,22;320,63
Алкогольные напитки;Пиво отечественное, за л;87,37;98,36;105,68;110,22
Алкогольные напитки;Пиво зарубежных торговых марок, за л;191,32;216,32;223,93;226,81
Напитки безалкогольные;Вода минеральная, за л;27,03;30,02;30,96;31,5
Напитки безалкогольные;Вода газированная, за л;30,23;34,56;37,43;38,86
Мороженое;Мороженое сливочное;278,29;326;367,48;400,43
Общественное питание;Кофе в организациях быстрого обслуживания, за 200 г;54,85;64,75;67,71;68,66
Общественное питание;Продукция предприятий общественного питания быстрого обслуживания (сэндвич типа Гамбургер), за шт.;67,05;78,48;83;82,66
Общественное питание;Обед в ресторане, на 1 человека;683,76;757,83;787,93;789,16
Общественное питание;Обед в столовой, кафе, закусочной (кроме в столовой в организации), на 1 человека;236,3;258,09;274,88;286,12
Общественное питание;Ужин в ресторане, на 1 человека;2129,31;2391,5;2425,3;2526,55
